Filename,X,Y,Width,Height
12_S363_pAdnL_4_HE.mrxs,14720,59803,64404,128808
12_S148_pOme_4_HE.mrxs,0,64404,73604,101206
12_S142_pOvaL_4_HE.mrxs,17481,69004,64404,110407
12_S134_pOvaR_4_HE.mrxs,17481,92005,64404,78204
12_S085_pOme_4_HE.mrxs,0,69004,82805,124207
12_S363_pAdnR2_5_HE.mrxs,17481,101206,57043,64404
12_S287_pMes_4_HE.mrxs,18401,110407,55203,64404
12_S007_pOva_4_HE.mrxs,23001,92005,46002,55203
12_S245_pAdn2_4_HE.mrxs,20241,55203,59803,110407
12_S092_pOme_4_HE.mrxs,13800,87405,59803,87405
12_S153_pOme_5_HE.mrxs,4600,87405,78204,87405
12_S363_pAdnL2_4_HE.mrxs,1840,101206,87405,92005
12_S060_pOme_4_HE.mrxs,0,59803,82805,119607
12_S119_pOme_4_HE.mrxs,4600,59803,73604,119607
12_S341_pOme_5_HE.mrxs,13800,87405,59803,96606
12_S215_pAdn_5_HE.mrxs,23001,96606,46002,55203
12_S044_pOme_4_HE.mrxs,13800,55203,59803,128808
12_S086_pOme_4_HE.mrxs,0,55203,78204,110407
12_S018_pOvaL_4_HE.mrxs,0,92005,78204,73604
12_S327_pOvaL_5_HE.mrxs,0,101206,78204,78204
12_S147_pOvaR_4_HE.mrxs,4600,73604,82805,92005
12_S340_pOvaL_4_HE.mrxs,18401,101206,55203,55203
12_S333_pOme2_4_HE.mrxs,18401,101206,55203,82805
12_S138_pAdn_4_HE.mrxs,4600,92005,78204,92005
12_S079_pOme_5_HE.mrxs,23001,87405,69004,92005
12_S014_pOme_4_HE.mrxs,0,87405,87405,87405
12_S032_pOme_4_HE.mrxs,13800,59803,59803,128808
12_S241_pOvaR_4_HE.mrxs,9200,87405,64404,64404
12_S156_pAdnR_4_HE.mrxs,13800,101206,59803,73604
12_S239_pOme_4_HE.mrxs,13800,92005,59803,64404
12_S230_pOme_5_HE.mrxs,13800,101206,59803,59803
12_S329_pOvaR_4_HE.mrxs,4600,92005,69004,73604
12_S190_pOme_5_HE.mrxs,23001,115007,50603,55203
12_S347_pOme_5_HE.mrxs,27601,110407,46002,46002
12_S186_pOme_4_HE.mrxs,4600,59803,73604,128808
12_S203_pOme_4_HE.mrxs,13800,96606,59803,64404
12_S117_pOme_4_HE.mrxs,0,82805,69004,92005
12_S137_pAdnL_4_HE.mrxs,18401,92005,59803,73604
12_S024_pOme_4_HE.mrxs,18401,101206,55203,64404
12_S004_pOme_4_HE.mrxs,27601,101206,46002,46002
12_S003_pOme_4_HE.mrxs,0,115007,73604,64404
12_S201_pOva1_4_HE.mrxs,23001,128808,46002,46002
12_S028_pAdn_4_HE.mrxs,18401,101206,55203,87405
12_S255_pOme_4_HE.mrxs,64404,73604,9200,92005
12_S002_pOme_4_HE.mrxs,9200,101206,64404,69004
12_S228_pOme1_4_HE.mrxs,18401,82805,55203,73604
12_S345_pOme_4_HE.mrxs,0,115007,82805,64404
12_S357_pAdnR_4_HE.mrxs,0,59803,73604,101206
12_S078_pOme_4_HE.mrxs,0,73604,69004,101206
12_S333_pOme_4_HE.mrxs,18401,101206,55203,55203
12_S152_pOme_4_HE.mrxs,9200,92005,64404,64404
12_S102_pOme2_4_HE.mrxs,0,87405,73604,64404
12_S321_pOme_5_HE.mrxs,18401,92005,59803,64404
12_S248_pOme_4_HE.mrxs,18401,101206,55203,64404
12_S040_pOva_5_HE.mrxs,13800,92005,59803,73604
12_S019_pOva_4_HE.mrxs,23001,101206,59803,55203
12_S149_pOme_4_HE.mrxs,0,101206,78204,82805
12_S016_pOme_5_HE.mrxs,9200,82805,73604,92005
12_S141_pOva_4_HE.mrxs,13800,101206,69004,73604
12_S310_pOme_4_HE.mrxs,18401,101206,46002,64404
12_S090_pOme_4_HE.mrxs,18401,82805,55203,92005
12_S039_pOme_4_HE.mrxs,18401,73604,55203,92005
12_S269_pAdnL_5_HE.mrxs,0,92005,82805,82805
12_S034_pAdn_4_HE.mrxs,0,92005,82805,110407
12_S341_pOme2_4_HE.mrxs,13800,87405,59803,82805
12_S097_pAdnlL_4_HE.mrxs,18401,101206,55203,55203
12_S285_pOme2_4_HE.mrxs,23001,101206,55203,46002
12_S010_pOvaR_4_HE.mrxs,9200,64404,64404,110407
12_S135_pAdnL_4_HE.mrxs,23001,101206,50603,55203
12_S139_pPer_5_HE.mrxs,23001,110407,46002,46002
12_S071_pOme_4_HE.mrxs,18401,92005,55203,73604
12_S036_pOme_4_HE.mrxs,9200,69004,73604,115007
12_S051_pOme_4_HE.mrxs,4600,92005,73604,92005
12_S015_pPer_4_HE.mrxs,23001,110407,46002,46002
12_S145_pOme_BM_4_HE.mrxs,18401,96606,59803,92005
12_S033_pOme_4_HE.mrxs,9200,55203,69004,119607
12_S008_pOme1_4_HE.mrxs,23001,101206,55203,64404
12_S109_pOme_5_HE.mrxs,18401,101206,64404,55203
12_S096_pOme_4_HE.mrxs,4600,64404,78204,110407
12_S061_pOme_4_HE.mrxs,0,59803,78204,147209
12_S027_pOme_4_HE.mrxs,4600,69004,82805,138008
12_S242_pOme_4_HE.mrxs,4600,101206,73604,73604
12_S021_pOme_5_HE.mrxs,0,46002,82805,147209
12_S363_pAdnR_4_HE.mrxs,0,69004,78204,101206
12_S047_pOme_4_HE.mrxs,0,55203,82805,138008
12_S289_pPer_5_HE.mrxs,23001,101206,55203,64404
12_S360_pOvaL_4_HE.mrxs,0,55203,73604,92005
12_S318_pPer_5_HE.mrxs,23001,101206,41402,55203
